id,name,EditableSynonymList_graph_id
,PPD,esl_20200604115458939003
,WISP-3,esl_20200604115458939003
,WISP3,esl_20200604115458939003
,ARTD13,esl_20200604115458939030
,FLB6421,esl_20200604115458939030
,PARP13,esl_20200604115458939030
,ZAP,esl_20200604115458939030
,ZC3H2,esl_20200604115458939030
,ZC3HDC2,esl_20200604115458939030
,ARCD1,esl_20200604115458939059
,ARP1,esl_20200604115458939059
,H3,esl_20200604115458939083
,H3.2,esl_20200604115458939083
,H3/M,esl_20200604115458939083
,H3F2,esl_20200604115458939083
,H3FM,esl_20200604115458939083
,H3FN,esl_20200604115458939083
,HIST2H3C,esl_20200604115458939083
,ACF,esl_20200604115458939113
,ACF64,esl_20200604115458939113
,ACF65,esl_20200604115458939113
,APOBEC1CF,esl_20200604115458939113
,ASP,esl_20200604115458939113
,FAG,esl_20200604115458939141
,XRCC9,esl_20200604115458939141
,GOLIM5,esl_20200604115458939165
,ret-II,esl_20200604115458939165
,RFG5,esl_20200604115458939165
,H3/k,esl_20200604115458939212
,H3C1,esl_20200604115458939212
,H3C11,esl_20200604115458939212
,H3C12,esl_20200604115458939212
,H3C2,esl_20200604115458939212
,H3C3,esl_20200604115458939212
,H3C4,esl_20200604115458939212
,H3C6,esl_20200604115458939212
,H3C7,esl_20200604115458939212
,H3C8,esl_20200604115458939212
,H3F1K,esl_20200604115458939212
,H3FK,esl_20200604115458939212
,HIST1H3H,esl_20200604115458939212
,p12,esl_20200604115458939248
,POLDS,esl_20200604115458939248
,MAJN,esl_20200604115458939294
,MYSPDZ,esl_20200604115458939294
,SP-R210,esl_20200604115458939294
,SPR210,esl_20200604115458939294
,H3/j,esl_20200604115458939321
,H3C1,esl_20200604115458939321
,H3C10,esl_20200604115458939321
,H3C11,esl_20200604115458939321
,H3C2,esl_20200604115458939321
,H3C3,esl_20200604115458939321
,H3C4,esl_20200604115458939321
,H3C6,esl_20200604115458939321
,H3C7,esl_20200604115458939321
,H3C8,esl_20200604115458939321
,H3FJ,esl_20200604115458939321
,HIST1H3J,esl_20200604115458939321
,cC1qR,esl_20200604115458939393
,CRT,esl_20200604115458939393
,HEL-S-99n,esl_20200604115458939393
,RO,esl_20200604115458939393
,SSA,esl_20200604115458939393
,DEP.5,esl_20200604115458939423
,FFEVF,esl_20200604115458939423
,FFEVF1,esl_20200604115458939423
,BENTA,esl_20200604115458939449
,BIMP3,esl_20200604115458939449
,CARMA1,esl_20200604115458939449
,IMD11,esl_20200604115458939449
,IMD11A,esl_20200604115458939449
,PPBL,esl_20200604115458939449
,D6S182,esl_20200604115458939478
,HSP84,esl_20200604115458939478
,HSP90B,esl_20200604115458939478
,HSPC2,esl_20200604115458939478
,HSPCB,esl_20200604115458939478
,HEL-S-61,esl_20200604115458939506
,KINH,esl_20200604115458939506
,KNS,esl_20200604115458939506
,KNS1,esl_20200604115458939506
,UKHC,esl_20200604115458939506
