id,Author_graph_id,LiteratureReference_graph_id
,author_kloosterhof_nk,ref_20196086
,author_chaudhary_k,ref_17599057
,author_moniaux_n,ref_17599057
,author_deb_s,ref_17599057
,author_batra_sk,ref_17599057
,author_ponnusamy_mp,ref_17599057
,author_hordijk_pl,ref_27417273
,author_de_rooij,ref_27417273
,author_huveneers_s,ref_27417273
,author_kole_j,ref_27417273
,author_malinova_ts,ref_27417273
,author_geerts_d,ref_27417273
,author_grieve_ag,ref_27417273
,author_nawaz_k,ref_27417273
,author_van_stalborch,ref_27417273
,author_van_geemen,ref_27417273
,author_jansen_ns,ref_27417273
,author_musters_rj,ref_27417273
,author_dorland_yl,ref_27417273
,author_de_kreuk,ref_27417273
,author_witter_b,ref_11082044
,author_modregger_j,ref_11082044
,author_paulsson_m,ref_11082044
,author_ritter_b,ref_11082044
,author_plomann_m,ref_11082044
,author_shukla_nn,ref_28748614
,author_dunkel_ij,ref_28748614
,author_zarnegar_s,ref_28748614
,author_lacouture_me,ref_28748614
,author_benayed_r,ref_28748614
,author_durham_bh,ref_28748614
,author_lavi_e,ref_28748614
,author_abdel_wahab_o,ref_28748614
,author_diamond_el,ref_28748614
,author_lyden_dc,ref_28748614
,author_khattar_p,ref_28748614
,author_khanna_kk,ref_23410976
,author_ellacott_jk,ref_23410976
,author_osborne_g,ref_23410976
,author_inglis_p,ref_23410976
,author_harding_a,ref_23410976
,author_reynolds_ba,ref_23410976
,author_ting_mj,ref_23410976
,author_lickliter_jd,ref_23410976
,author_wilson_j,ref_23410976
,author_day_bw,ref_23410976
,author_cooper_lt,ref_23410976
,author_al_ejeh_f,ref_23410976
,author_bruce_zc,ref_23410976
,author_ensbey_ks,ref_23410976
,author_charmsaz_s,ref_23410976
,author_boyd_aw,ref_23410976
,author_stringer_bw,ref_23410976
,author_jamieson_pr,ref_23410976
,author_offenhauser_c,ref_23410976
,author_lim_yc,ref_23410976
,author_leveque_l,ref_23410976
,author_allan_s,ref_23410976
,author_walker_dg,ref_23410976
,author_lackmann_m,ref_23410976
,author_dean_l,ref_28520360
,author_ha_vh,ref_28494109
,author_jupp_j,ref_28494109
,author_tsang_ry,ref_28494109
,author_yuan_y,ref_27919854
,author_miao_xy,ref_27919854
,author_zou_q,ref_27919854
,author_li_dq,ref_27919854
,author_liu_zy,ref_27919854
,author_huang_sf,ref_27919854
,author_yang_zl,ref_27919854
,author_wang_cw,ref_27919854
,author_acloque_h,ref_23201163
