name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonymsString_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
PDGFRA,PDGFRA,es_20200506135211260000,es_20200422174241213828,es_20200422174241213844,geneInfo_gene_5156,jax_gene_5156,uniprot_P16234,omnigene_5156
PDK1,PDK1,es_20200528150203213000,es_20200422174246104464,es_20200422174246104480,geneInfo_gene_5163,jax_gene_5163,uniprot_Q15118,omnigene_5163
PGR,PGR,es_20200528152733292000,es_20200422174250740170,es_20200422174250740187,geneInfo_gene_5241,jax_gene_5241,uniprot_P06401,omnigene_5241
PHOX2B,PHOX2B,es_20200528154743668000,es_20200422174254384120,es_20200422174254384143,geneInfo_gene_8929,jax_gene_8929,uniprot_Q99453,omnigene_8929
PIK3CG,PIK3CG,es_20200529110121420000,es_20200422174309827606,es_20200422174309827623,geneInfo_gene_5294,jax_gene_5294,uniprot_P48736,omnigene_5294
PIM1,PIM1,es_20200529135930105000,es_20200422174322694512,es_20200422174322694531,geneInfo_gene_5292,jax_gene_5292,uniprot_P11309,omnigene_5292
PMS1,PMS1,es_20200529141956573000,es_20200422174329297941,es_20200422174329297965,geneInfo_gene_5378,jax_gene_5378,uniprot_P54277,omnigene_5378
PIK3C2G,PIK3C2G,es_20200529101116235000,es_20200422174258256285,es_20200422174258256301,geneInfo_gene_5288,jax_gene_5288,uniprot_O75747,omnigene_5288
PIK3C3,PIK3C3,es_20200529102839410000,es_20200422174300615569,es_20200422174300615588,geneInfo_gene_5289,jax_gene_5289,uniprot_Q8NEB9,omnigene_5289
PIK3CD,PIK3CD,es_20200529110651153000,es_20200422174307767333,es_20200422174307767349,geneInfo_gene_5293,jax_gene_5293,uniprot_O00329,omnigene_5293
PIK3CB,PIK3CB,es_20200529104613968000,es_20200422174306066601,es_20200422174306066618,geneInfo_gene_5291,jax_gene_5291,uniprot_P42338,omnigene_5291
PIK3R3,PIK3R3,es_20200529133259187000,es_20200422174319621067,es_20200422174319621091,geneInfo_gene_8503,jax_gene_8503,uniprot_Q92569,omnigene_8503
PMAIP1,PMAIP1,es_20200529141244218000,es_20200422174327472935,es_20200422174327472952,geneInfo_gene_5366,jax_gene_5366,uniprot_Q13794,omnigene_5366
PIK3R1,PIK3R1,es_20200430113913425000,es_20200422174313616136,es_20200422174313616154,geneInfo_gene_5295,jax_gene_5295,uniprot_P27986,omnigene_5295
PLCG2,PLCG2,es_20200529140435241000,es_20200422174324277752,es_20200422174324277768,geneInfo_gene_5336,jax_gene_5336,uniprot_P16885,omnigene_5336
PIK3R2,PIK3R2,es_2020052911532959000,es_20200422174317166564,es_20200422174317166582,geneInfo_gene_5296,jax_gene_5296,uniprot_O00459,omnigene_5296
PLK2,PLK2,es_2020052914085592000,es_20200422174325754806,es_20200422174325754823,geneInfo_gene_10769,jax_gene_10769,uniprot_Q9NYY3,omnigene_10769
PPP2R1A,PPP2R1A,es_20200506154751813000,es_20200422174357558294,es_20200422174357558315,geneInfo_gene_5518,jax_gene_5518,uniprot_P30153,omnigene_5518
PMS2,PMS2,es_20200529142913184000,es_20200422174331363667,es_20200422174331363694,geneInfo_gene_5395,jax_gene_5395,uniprot_P54278,omnigene_5395
PRKAR1A,PRKAR1A,es_20200601132200982000,es_20200422174411781902,es_20200422174411781918,geneInfo_gene_5573,jax_gene_5573,uniprot_P10644,omnigene_5573
PTPRD,PTPRD,es_20200601140641428000,es_20200422174438619505,es_20200422174438619521,geneInfo_gene_5789,jax_gene_5789,uniprot_P23468,omnigene_5789
PNP,PNP,es_20200422174333809096,es_20200422174333809121,es_20200422174333809144,geneInfo_gene_4860,,uniprot_P00491,omnigene_4860
POLD1,POLD1,es_2020052914525908000,es_20200422174342506304,es_20200422174342506322,geneInfo_gene_5424,jax_gene_5424,uniprot_P28340,omnigene_5424
PPARG,PPARG,es_20200511100938818000,es_20200422174349941045,es_20200422174349941061,geneInfo_gene_5468,jax_gene_5468,uniprot_P37231,omnigene_5468
POLE,POLE,es_20200529153742336000,es_20200422174346851083,es_20200422174346851102,geneInfo_gene_5426,jax_gene_5426,uniprot_Q07864,omnigene_5426
PPP2R2A,PPP2R2A,es_20200601125105905000,es_20200422174359821600,es_20200422174359821617,geneInfo_gene_5520,jax_gene_5520,uniprot_P63151,omnigene_5520
PPM1D,PPM1D,es_20200529162208795000,es_20200422174353818370,es_20200422174353818389,geneInfo_gene_8493,jax_gene_8493,uniprot_O15297,omnigene_8493
PPP6C,PPP6C,es_20200422174404628952,es_20200422174404628983,es_20200422174404629004,geneInfo_gene_5537,jax_gene_5537,uniprot_O00743,omnigene_5537
PRDM1,PRDM1,es_20200601130257992000,es_20200422174407861600,es_20200601130010574000,geneInfo_gene_639,jax_gene_639,uniprot_O75626,omnigene_639
PRSS8,PRSS8,es_20200601140338879000,es_20200422174426092043,es_20200422174426092059,geneInfo_gene_5652,jax_gene_5652,uniprot_Q16651,omnigene_5652
PTCH1,PTCH1,es_20200501140111640000,es_20200422174428886585,es_20200422174428886601,geneInfo_gene_5727,jax_gene_5727,uniprot_Q13635,omnigene_5727
PRKCI,PRKCI,es_20200601134753368000,es_20200422174414424098,es_20200422174414424118,geneInfo_gene_5584,jax_gene_5584,uniprot_P41743,omnigene_5584
PRKDC,PRKDC,es_20200601135349280000,es_20200422174422546540,es_20200422174422546559,geneInfo_gene_5591,jax_gene_5591,uniprot_P78527,omnigene_5591
PTEN,PTEN,es_2020043014541309000,es_20200422174432765768,es_20200422174432765785,geneInfo_gene_5728,jax_gene_5728,uniprot_P60484,omnigene_5728
QKI,QKI,es_20200422174450117159,es_20200422174450117185,es_20200422174450117203,geneInfo_gene_9444,jax_gene_9444,uniprot_Q96PU8,omnigene_9444
PTPN11,PTPN11,es_20200506140810503000,es_20200422174435933766,es_20200422174435933784,geneInfo_gene_5781,jax_gene_5781,uniprot_Q06124,omnigene_5781
RB1,RB1,es_20200430160024363000,es_20200422174538599917,es_20200422174538599936,geneInfo_gene_5925,jax_gene_5925,uniprot_P06400,omnigene_5925
RPS6KA4,RPS6KA4,es_20200422174615077819,es_20200422174615077837,es_20200422174615077854,geneInfo_gene_8986,jax_gene_8986,uniprot_O75676,omnigene_8986
PTPRS,PTPRS,es_2020060115423391000,es_20200422174442777254,es_20200422174442777271,geneInfo_gene_5802,jax_gene_5802,uniprot_Q13332,omnigene_5802
PTPRT,PTPRT,es_20200422174445759312,es_20200422174445759330,es_20200422174445759346,geneInfo_gene_11122,jax_gene_11122,uniprot_O14522,omnigene_11122
